Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9
Viral Infection,chills,cough,sneezing,fatigue,body aches,,,,
Viral Infection,congestion,body aches,sneezing,fatigue,fever,chills,,,
Viral Infection,fatigue,chills,runny nose,cough,congestion,,,,
Viral Infection,fatigue,runny nose,sore throat,chills,cough,,,,
Viral Infection,body aches,sneezing,chills,cough,fever,,,,
Viral Infection,runny nose,congestion,sore throat,chills,body aches,fever,cough,sneezing,fatigue
Viral Infection,fever,sore throat,congestion,sneezing,runny nose,,,,
Viral Infection,fever,body aches,cough,fatigue,congestion,,,,
Viral Infection,sore throat,fever,body aches,fatigue,runny nose,chills,congestion,sneezing,cough
Viral Infection,fever,sore throat,cough,congestion,sneezing,body aches,chills,fatigue,
Viral Infection,fatigue,sore throat,congestion,fever,chills,body aches,cough,sneezing,runny nose
Viral Infection,body aches,chills,congestion,sneezing,sore throat,runny nose,cough,fever,
Viral Infection,chills,congestion,fatigue,runny nose,,,,,
Viral Infection,fever,fatigue,body aches,congestion,sneezing,cough,runny nose,,
Viral Infection,fatigue,runny nose,fever,body aches,congestion,cough,chills,sore throat,
Viral Infection,sore throat,fatigue,runny nose,body aches,chills,,,,
Viral Infection,sneezing,congestion,fever,runny nose,cough,fatigue,,,
Viral Infection,fatigue,sore throat,sneezing,cough,,,,,
Viral Infection,congestion,runny nose,chills,body aches,fatigue,,,,
Viral Infection,body aches,congestion,fever,chills,runny nose,fatigue,sneezing,,
Viral Infection,chills,cough,runny nose,congestion,fever,body aches,fatigue,,
Viral Infection,chills,fatigue,sore throat,congestion,runny nose,body aches,fever,sneezing,cough
Viral Infection,chills,body aches,congestion,sore throat,,,,,
Viral Infection,fatigue,runny nose,sore throat,sneezing,cough,,,,
Viral Infection,fever,chills,sore throat,sneezing,congestion,cough,runny nose,body aches,fatigue
Viral Infection,congestion,cough,body aches,fatigue,runny nose,sore throat,,,
Viral Infection,sore throat,runny nose,fatigue,cough,fever,,,,
Viral Infection,cough,chills,sneezing,fever,runny nose,sore throat,congestion,,
Viral Infection,fatigue,fever,congestion,chills,sneezing,sore throat,,,
Viral Infection,body aches,fever,sore throat,sneezing,congestion,runny nose,fatigue,chills,
Viral Infection,congestion,runny nose,sneezing,body aches,sore throat,chills,,,
Viral Infection,fatigue,chills,fever,runny nose,,,,,
Viral Infection,congestion,body aches,fatigue,fever,chills,sore throat,sneezing,,
Viral Infection,chills,congestion,sore throat,sneezing,,,,,
Viral Infection,sore throat,cough,chills,sneezing,fever,runny nose,,,
Viral Infection,cough,fever,runny nose,fatigue,body aches,congestion,sore throat,sneezing,chills
Viral Infection,fatigue,chills,runny nose,body aches,cough,congestion,,,
Viral Infection,runny nose,fever,body aches,sore throat,sneezing,cough,fatigue,chills,
Viral Infection,cough,body aches,congestion,fatigue,fever,sneezing,chills,,
Viral Infection,runny nose,cough,chills,body aches,sneezing,sore throat,congestion,fever,
Viral Infection,sore throat,congestion,sneezing,runny nose,cough,fatigue,body aches,fever,
Viral Infection,runny nose,fever,body aches,cough,fatigue,sneezing,chills,,
Viral Infection,body aches,fever,cough,chills,congestion,fatigue,sore throat,runny nose,
Viral Infection,congestion,fatigue,cough,sore throat,sneezing,runny nose,body aches,fever,chills
Viral Infection,fatigue,chills,cough,fever,,,,,
Viral Infection,cough,fatigue,congestion,body aches,sore throat,sneezing,,,
Viral Infection,fever,sore throat,chills,runny nose,cough,body aches,congestion,,
Viral Infection,fatigue,sore throat,chills,runny nose,,,,,
Viral Infection,runny nose,fatigue,congestion,cough,fever,,,,
Viral Infection,sneezing,body aches,fever,fatigue,chills,congestion,,,
Viral Infection,congestion,fatigue,chills,body aches,sneezing,runny nose,cough,fever,
Viral Infection,runny nose,fever,fatigue,sneezing,,,,,
Viral Infection,chills,body aches,cough,sneezing,fatigue,sore throat,fever,congestion,runny nose
Viral Infection,chills,sneezing,congestion,runny nose,fatigue,sore throat,,,
Viral Infection,cough,fatigue,fever,sneezing,,,,,
Viral Infection,fever,runny nose,chills,body aches,sneezing,congestion,sore throat,,
Viral Infection,fatigue,chills,congestion,runny nose,fever,cough,,,
Viral Infection,fever,chills,sore throat,congestion,sneezing,cough,runny nose,,
Viral Infection,fatigue,sneezing,sore throat,cough,runny nose,congestion,body aches,chills,fever
Viral Infection,chills,runny nose,body aches,sore throat,fatigue,sneezing,congestion,,
Viral Infection,body aches,cough,fatigue,sneezing,chills,sore throat,congestion,,
Viral Infection,cough,sneezing,fatigue,chills,fever,,,,
Viral Infection,sneezing,fatigue,fever,cough,congestion,chills,body aches,,
Viral Infection,chills,body aches,cough,fatigue,sneezing,runny nose,congestion,fever,sore throat
Viral Infection,body aches,congestion,fever,cough,sneezing,sore throat,chills,,
Viral Infection,fever,sore throat,fatigue,body aches,cough,,,,
Viral Infection,sneezing,body aches,chills,cough,fatigue,,,,
Viral Infection,congestion,chills,cough,sore throat,fever,,,,
Viral Infection,fatigue,cough,chills,fever,,,,,
Viral Infection,body aches,sneezing,fever,chills,congestion,sore throat,,,
Viral Infection,sore throat,sneezing,runny nose,chills,fever,fatigue,congestion,body aches,
Viral Infection,sore throat,chills,sneezing,runny nose,congestion,fatigue,fever,body aches,
Viral Infection,congestion,chills,body aches,sore throat,runny nose,fever,fatigue,,
Viral Infection,runny nose,fever,body aches,chills,sneezing,congestion,fatigue,,
Viral Infection,runny nose,body aches,cough,sneezing,fever,congestion,,,
Viral Infection,body aches,sneezing,fatigue,cough,sore throat,fever,congestion,,
Viral Infection,fever,sneezing,congestion,sore throat,runny nose,fatigue,body aches,chills,cough
Viral Infection,chills,sore throat,sneezing,runny nose,fatigue,cough,congestion,fever,
Viral Infection,congestion,body aches,sneezing,fatigue,cough,sore throat,chills,,
Viral Infection,sore throat,fever,runny nose,congestion,cough,,,,
Viral Infection,congestion,sore throat,fever,runny nose,cough,sneezing,,,
Viral Infection,sneezing,chills,congestion,cough,fever,runny nose,fatigue,body aches,
Viral Infection,sneezing,sore throat,chills,fatigue,congestion,fever,,,
Viral Infection,fever,runny nose,cough,fatigue,body aches,sneezing,chills,sore throat,
Viral Infection,runny nose,congestion,fatigue,chills,sneezing,cough,sore throat,fever,
Viral Infection,cough,fatigue,chills,congestion,fever,,,,
Viral Infection,congestion,sneezing,cough,body aches,,,,,
Viral Infection,sore throat,cough,runny nose,sneezing,congestion,chills,fatigue,body aches,fever
Viral Infection,fatigue,cough,body aches,runny nose,congestion,sneezing,,,
Viral Infection,runny nose,body aches,chills,cough,fever,sneezing,fatigue,,
Viral Infection,fever,runny nose,chills,congestion,,,,,
Viral Infection,congestion,fatigue,chills,sneezing,runny nose,body aches,cough,,
Viral Infection,fever,fatigue,congestion,sore throat,chills,sneezing,cough,runny nose,body aches
Viral Infection,body aches,sneezing,fever,cough,congestion,,,,
Viral Infection,sore throat,congestion,body aches,fever,fatigue,chills,cough,,
Viral Infection,cough,fatigue,runny nose,fever,body aches,congestion,,,
Viral Infection,fever,sore throat,runny nose,body aches,sneezing,chills,fatigue,cough,congestion
Viral Infection,body aches,congestion,fever,sneezing,fatigue,chills,runny nose,sore throat,
Viral Infection,chills,fever,body aches,sneezing,runny nose,cough,,,
Viral Infection,fatigue,sneezing,sore throat,congestion,chills,body aches,fever,,
Viral Infection,cough,congestion,sore throat,sneezing,fatigue,fever,chills,,
Viral Infection,sneezing,fatigue,chills,runny nose,congestion,sore throat,body aches,fever,cough
Viral Infection,cough,fever,runny nose,body aches,chills,,,,
Viral Infection,fatigue,cough,chills,runny nose,body aches,sneezing,,,
Viral Infection,chills,sore throat,fever,congestion,cough,sneezing,fatigue,body aches,runny nose
Viral Infection,cough,fever,body aches,chills,fatigue,runny nose,sore throat,sneezing,congestion
Viral Infection,fatigue,congestion,chills,sore throat,sneezing,fever,,,
Viral Infection,congestion,sore throat,fatigue,sneezing,fever,chills,body aches,,
Viral Infection,runny nose,body aches,cough,sore throat,sneezing,congestion,fatigue,fever,chills
Viral Infection,sneezing,fever,sore throat,body aches,chills,runny nose,,,
Viral Infection,runny nose,sneezing,fatigue,sore throat,fever,,,,
Viral Infection,sore throat,chills,body aches,runny nose,cough,fever,sneezing,,
Viral Infection,chills,runny nose,sore throat,fever,cough,fatigue,body aches,sneezing,
Viral Infection,congestion,fatigue,body aches,chills,,,,,
Viral Infection,congestion,cough,runny nose,fever,sneezing,sore throat,,,
Viral Infection,chills,body aches,runny nose,cough,congestion,sneezing,,,
Viral Infection,fever,cough,fatigue,runny nose,congestion,body aches,chills,sore throat,sneezing
Viral Infection,sore throat,fatigue,congestion,runny nose,sneezing,cough,body aches,,
Viral Infection,congestion,fever,chills,fatigue,runny nose,,,,
Viral Infection,congestion,runny nose,fever,sore throat,body aches,cough,,,
Viral Infection,congestion,cough,sneezing,body aches,fatigue,chills,runny nose,,
Viral Infection,fever,cough,sore throat,body aches,runny nose,sneezing,congestion,,
Viral Infection,congestion,body aches,chills,sore throat,sneezing,fever,cough,,
Viral Infection,congestion,chills,sore throat,fever,,,,,
Viral Infection,body aches,fatigue,sore throat,cough,chills,runny nose,congestion,sneezing,
Viral Infection,runny nose,sneezing,chills,fatigue,congestion,sore throat,body aches,cough,
Viral Infection,chills,body aches,runny nose,congestion,fever,fatigue,sore throat,,
Viral Infection,sore throat,chills,fatigue,sneezing,cough,,,,
Viral Infection,cough,fever,chills,runny nose,,,,,
Viral Infection,body aches,fever,cough,sneezing,fatigue,sore throat,,,
Viral Infection,fever,body aches,runny nose,cough,sneezing,sore throat,chills,congestion,
Viral Infection,sore throat,fatigue,fever,congestion,chills,,,,
Viral Infection,fever,body aches,chills,sneezing,fatigue,congestion,cough,sore throat,runny nose
Viral Infection,runny nose,sneezing,sore throat,body aches,chills,fever,cough,fatigue,congestion
Viral Infection,cough,runny nose,congestion,chills,sore throat,fatigue,body aches,,
Viral Infection,fever,runny nose,body aches,sneezing,cough,fatigue,sore throat,,
Viral Infection,chills,body aches,cough,congestion,runny nose,sneezing,fever,sore throat,fatigue
Viral Infection,body aches,cough,chills,congestion,fever,runny nose,fatigue,sore throat,sneezing
Viral Infection,runny nose,fever,fatigue,sore throat,cough,congestion,sneezing,chills,body aches
Viral Infection,sore throat,congestion,runny nose,cough,sneezing,fever,fatigue,,
Viral Infection,body aches,congestion,cough,fever,,,,,
Viral Infection,sore throat,sneezing,fever,cough,,,,,
Viral Infection,body aches,congestion,cough,fever,,,,,
Viral Infection,runny nose,cough,sore throat,chills,,,,,
Viral Infection,body aches,fatigue,runny nose,chills,fever,congestion,cough,sore throat,sneezing
Viral Infection,cough,chills,fever,sore throat,fatigue,sneezing,congestion,body aches,runny nose
Viral Infection,body aches,fever,fatigue,sore throat,congestion,runny nose,chills,,
Viral Infection,chills,cough,sneezing,sore throat,,,,,
Viral Infection,fever,congestion,sore throat,sneezing,chills,body aches,fatigue,runny nose,cough
Viral Infection,cough,fatigue,sore throat,chills,runny nose,,,,
Viral Infection,runny nose,fever,chills,cough,sneezing,,,,
Viral Infection,fever,runny nose,sneezing,body aches,cough,,,,
Viral Infection,congestion,fatigue,fever,sneezing,chills,sore throat,runny nose,,
Viral Infection,sore throat,body aches,fever,runny nose,cough,chills,congestion,sneezing,fatigue
Viral Infection,sore throat,congestion,cough,sneezing,chills,body aches,fever,fatigue,runny nose
Viral Infection,fever,fatigue,sore throat,body aches,cough,,,,
Viral Infection,sneezing,sore throat,fatigue,cough,fever,congestion,chills,,
Viral Infection,fatigue,cough,runny nose,body aches,fever,congestion,sneezing,chills,sore throat
Viral Infection,cough,sore throat,sneezing,fever,runny nose,chills,congestion,fatigue,
Viral Infection,cough,chills,body aches,congestion,sneezing,fatigue,fever,runny nose,
Viral Infection,chills,fever,congestion,fatigue,runny nose,body aches,cough,sneezing,
Viral Infection,fatigue,sneezing,sore throat,cough,fever,congestion,,,
Viral Infection,chills,congestion,fatigue,cough,fever,body aches,sore throat,,
Viral Infection,sore throat,chills,fatigue,runny nose,congestion,,,,
Viral Infection,congestion,runny nose,fever,sneezing,fatigue,,,,
Viral Infection,congestion,runny nose,fatigue,body aches,chills,,,,
Viral Infection,sore throat,fever,chills,runny nose,congestion,body aches,sneezing,,
Viral Infection,sore throat,chills,cough,sneezing,fever,,,,
Viral Infection,cough,sore throat,fever,chills,runny nose,congestion,,,
Viral Infection,sneezing,sore throat,runny nose,fever,chills,body aches,congestion,fatigue,
Viral Infection,cough,congestion,sore throat,runny nose,chills,,,,
Viral Infection,congestion,runny nose,chills,sore throat,sneezing,cough,body aches,fatigue,
Viral Infection,cough,sore throat,runny nose,fatigue,congestion,body aches,sneezing,chills,fever
Viral Infection,chills,fever,sore throat,cough,sneezing,fatigue,body aches,congestion,runny nose
Viral Infection,chills,runny nose,cough,sore throat,body aches,congestion,fever,,
Viral Infection,fever,congestion,cough,fatigue,,,,,
Viral Infection,sore throat,cough,sneezing,chills,fatigue,fever,,,
Viral Infection,fatigue,runny nose,cough,sore throat,body aches,sneezing,chills,fever,
Viral Infection,fever,fatigue,body aches,sore throat,cough,chills,,,
Viral Infection,fever,fatigue,body aches,congestion,,,,,
Viral Infection,body aches,congestion,runny nose,fever,cough,fatigue,chills,sore throat,sneezing
Viral Infection,sneezing,runny nose,body aches,chills,congestion,fatigue,sore throat,cough,
Viral Infection,runny nose,fever,fatigue,cough,sneezing,congestion,sore throat,chills,
Viral Infection,chills,cough,fever,congestion,,,,,
Viral Infection,congestion,chills,runny nose,cough,fatigue,fever,body aches,sneezing,sore throat
Viral Infection,body aches,runny nose,cough,congestion,sore throat,fever,fatigue,,
Viral Infection,chills,body aches,cough,runny nose,sore throat,,,,
Viral Infection,runny nose,cough,sore throat,congestion,,,,,
Viral Infection,chills,sore throat,cough,congestion,fever,runny nose,sneezing,fatigue,
Viral Infection,cough,chills,body aches,fever,congestion,,,,
Viral Infection,fatigue,cough,sore throat,congestion,runny nose,fever,body aches,sneezing,chills
Viral Infection,body aches,sneezing,fatigue,chills,cough,fever,,,
Viral Infection,chills,fatigue,cough,fever,sneezing,runny nose,body aches,,
Viral Infection,runny nose,sore throat,body aches,sneezing,fever,cough,chills,fatigue,congestion
Viral Infection,chills,fever,fatigue,congestion,sneezing,runny nose,cough,body aches,
Viral Infection,runny nose,body aches,sore throat,cough,fatigue,,,,
Viral Infection,sneezing,fever,fatigue,runny nose,body aches,chills,congestion,,
Viral Infection,fever,cough,runny nose,chills,congestion,sore throat,body aches,,
Viral Infection,sore throat,body aches,congestion,fatigue,chills,cough,sneezing,runny nose,
Viral Infection,body aches,sneezing,cough,runny nose,fever,,,,
Viral Infection,congestion,chills,fever,runny nose,cough,,,,
Viral Infection,sneezing,fatigue,chills,congestion,cough,sore throat,runny nose,body aches,
Viral Infection,fatigue,sneezing,body aches,chills,cough,congestion,,,
Viral Infection,sneezing,cough,fatigue,fever,,,,,
Viral Infection,runny nose,sneezing,sore throat,fever,chills,cough,congestion,fatigue,body aches
Viral Infection,cough,chills,runny nose,sneezing,sore throat,fatigue,congestion,fever,
Viral Infection,body aches,fatigue,runny nose,congestion,fever,sneezing,cough,sore throat,
Viral Infection,congestion,cough,fever,sneezing,runny nose,fatigue,,,
Viral Infection,congestion,runny nose,fatigue,chills,fever,sore throat,sneezing,cough,body aches
Viral Infection,body aches,fatigue,runny nose,fever,sneezing,cough,,,
Viral Infection,cough,chills,fever,fatigue,sore throat,runny nose,,,
Viral Infection,congestion,fever,runny nose,cough,sneezing,body aches,,,
Viral Infection,sore throat,chills,cough,sneezing,,,,,
Viral Infection,sneezing,body aches,cough,fever,runny nose,chills,sore throat,,
Viral Infection,congestion,cough,sneezing,sore throat,chills,body aches,fatigue,runny nose,
Viral Infection,sneezing,body aches,fever,chills,congestion,sore throat,runny nose,,
Viral Infection,sore throat,sneezing,cough,chills,,,,,
Viral Infection,fatigue,chills,sore throat,congestion,runny nose,body aches,,,
Viral Infection,sore throat,chills,fatigue,fever,congestion,cough,sneezing,,
Viral Infection,fatigue,body aches,congestion,sneezing,fever,chills,cough,,
Viral Infection,sneezing,congestion,body aches,cough,chills,,,,
Viral Infection,sneezing,congestion,sore throat,runny nose,body aches,,,,
Viral Infection,runny nose,fever,chills,fatigue,body aches,sneezing,congestion,cough,sore throat
Viral Infection,sneezing,fatigue,congestion,chills,sore throat,body aches,runny nose,cough,fever
Viral Infection,chills,fatigue,congestion,fever,body aches,,,,
Viral Infection,body aches,sneezing,cough,congestion,fever,fatigue,chills,sore throat,runny nose
Viral Infection,fatigue,congestion,body aches,sneezing,fever,cough,chills,,
Viral Infection,body aches,fatigue,congestion,chills,runny nose,fever,sneezing,,
Viral Infection,body aches,sore throat,runny nose,chills,cough,congestion,fatigue,sneezing,
Viral Infection,chills,fever,sore throat,runny nose,sneezing,congestion,,,
Viral Infection,sneezing,runny nose,fatigue,fever,cough,,,,
Viral Infection,fever,sneezing,body aches,cough,fatigue,runny nose,,,
Viral Infection,cough,chills,sore throat,fatigue,body aches,,,,
Viral Infection,chills,runny nose,fever,fatigue,sore throat,cough,sneezing,congestion,body aches
Viral Infection,runny nose,congestion,body aches,fatigue,sneezing,sore throat,fever,chills,
Viral Infection,runny nose,cough,body aches,sore throat,congestion,,,,
Viral Infection,sneezing,chills,sore throat,runny nose,congestion,,,,
Viral Infection,sneezing,congestion,runny nose,sore throat,fever,fatigue,chills,cough,body aches
Viral Infection,fatigue,fever,runny nose,chills,sneezing,cough,body aches,,
Viral Infection,sore throat,fatigue,body aches,congestion,cough,sneezing,fever,chills,runny nose
Viral Infection,body aches,sore throat,congestion,fatigue,sneezing,,,,
Viral Infection,sore throat,fatigue,congestion,cough,runny nose,chills,sneezing,,
Viral Infection,sneezing,cough,congestion,body aches,fatigue,chills,fever,runny nose,
Viral Infection,fatigue,chills,sneezing,fever,,,,,
Viral Infection,congestion,sore throat,fever,fatigue,,,,,
Viral Infection,fatigue,chills,body aches,runny nose,congestion,fever,sneezing,cough,sore throat
Viral Infection,sore throat,body aches,runny nose,chills,fever,fatigue,,,
Viral Infection,runny nose,fatigue,chills,fever,,,,,
Viral Infection,cough,chills,body aches,sore throat,fatigue,fever,runny nose,congestion,sneezing
Viral Infection,fever,sneezing,runny nose,cough,,,,,
Viral Infection,chills,sneezing,sore throat,runny nose,fever,congestion,body aches,,
Viral Infection,congestion,fatigue,sneezing,body aches,,,,,
Viral Infection,sneezing,congestion,cough,body aches,runny nose,fatigue,chills,fever,
Viral Infection,sneezing,body aches,runny nose,chills,fever,sore throat,fatigue,congestion,cough
Viral Infection,cough,chills,fatigue,runny nose,fever,,,,
Viral Infection,sore throat,cough,fever,runny nose,fatigue,chills,congestion,sneezing,
Viral Infection,sneezing,cough,body aches,sore throat,runny nose,,,,
Viral Infection,congestion,chills,body aches,cough,,,,,
Viral Infection,cough,sore throat,fatigue,fever,,,,,
Viral Infection,fever,sore throat,body aches,chills,,,,,
Viral Infection,sneezing,runny nose,chills,sore throat,congestion,body aches,cough,fever,fatigue
Viral Infection,cough,fatigue,runny nose,congestion,,,,,
Viral Infection,runny nose,congestion,sneezing,sore throat,chills,body aches,,,
Viral Infection,sneezing,fatigue,chills,congestion,sore throat,fever,cough,runny nose,body aches
Viral Infection,fatigue,fever,cough,sore throat,body aches,chills,,,
Viral Infection,cough,congestion,body aches,sore throat,fever,sneezing,,,
Viral Infection,sneezing,runny nose,chills,fatigue,sore throat,,,,
Viral Infection,fever,sneezing,cough,body aches,congestion,sore throat,,,
Viral Infection,body aches,chills,runny nose,sneezing,fatigue,cough,,,
Viral Infection,fatigue,sneezing,chills,cough,congestion,,,,
Viral Infection,chills,sneezing,congestion,sore throat,runny nose,fever,fatigue,cough,body aches
Viral Infection,fatigue,cough,sore throat,congestion,sneezing,runny nose,body aches,,
Viral Infection,chills,cough,sore throat,runny nose,,,,,
Viral Infection,chills,cough,congestion,fatigue,sneezing,body aches,fever,runny nose,sore throat
Viral Infection,fatigue,body aches,fever,congestion,cough,chills,runny nose,,
Viral Infection,sneezing,chills,body aches,sore throat,cough,runny nose,congestion,fever,fatigue
Viral Infection,fatigue,chills,cough,fever,body aches,sore throat,sneezing,congestion,
Viral Infection,cough,congestion,chills,sneezing,,,,,
Viral Infection,body aches,cough,chills,fatigue,,,,,
Viral Infection,chills,cough,sore throat,sneezing,fever,,,,
Viral Infection,sneezing,sore throat,cough,fatigue,congestion,runny nose,chills,fever,body aches
Viral Infection,fever,sore throat,runny nose,fatigue,chills,body aches,sneezing,,
Viral Infection,fatigue,sneezing,body aches,congestion,chills,,,,
Viral Infection,fever,sneezing,chills,fatigue,cough,sore throat,runny nose,,
Viral Infection,runny nose,body aches,fatigue,chills,,,,,
Viral Infection,body aches,congestion,chills,sore throat,fatigue,runny nose,,,
Viral Infection,body aches,sore throat,congestion,cough,fever,sneezing,fatigue,,
Viral Infection,congestion,runny nose,sore throat,body aches,fever,fatigue,chills,sneezing,cough
Viral Infection,body aches,fever,fatigue,sneezing,runny nose,,,,
Viral Infection,cough,fatigue,chills,sneezing,,,,,
Viral Infection,sore throat,fatigue,body aches,fever,chills,runny nose,,,
Viral Infection,fatigue,cough,chills,congestion,fever,sneezing,runny nose,body aches,
Viral Infection,runny nose,cough,congestion,body aches,,,,,
Viral Infection,cough,runny nose,body aches,chills,,,,,
Viral Infection,chills,fever,fatigue,sore throat,body aches,runny nose,,,
Viral Infection,chills,body aches,congestion,cough,fever,sore throat,sneezing,runny nose,
Viral Infection,sore throat,fever,body aches,runny nose,cough,congestion,,,
Viral Infection,congestion,chills,runny nose,body aches,,,,,
Viral Infection,cough,body aches,fever,sneezing,,,,,
Viral Infection,chills,congestion,body aches,fever,sore throat,,,,
Viral Infection,body aches,runny nose,congestion,cough,fatigue,sneezing,fever,chills,sore throat
Viral Infection,sore throat,fever,chills,runny nose,fatigue,sneezing,cough,,
Viral Infection,sneezing,sore throat,fever,cough,body aches,runny nose,congestion,,
Viral Infection,sore throat,congestion,fever,body aches,fatigue,chills,cough,sneezing,runny nose
Viral Infection,sore throat,fever,sneezing,body aches,runny nose,cough,,,
Viral Infection,sore throat,fatigue,chills,congestion,,,,,
Viral Infection,fever,body aches,chills,cough,fatigue,sneezing,,,
Viral Infection,runny nose,sore throat,cough,fever,,,,,
Viral Infection,cough,sore throat,congestion,chills,runny nose,sneezing,fever,fatigue,
Viral Infection,congestion,sore throat,cough,sneezing,runny nose,,,,
Viral Infection,fever,congestion,cough,chills,fatigue,sore throat,runny nose,sneezing,
Viral Infection,cough,congestion,runny nose,fatigue,,,,,
Viral Infection,fatigue,body aches,sore throat,sneezing,congestion,cough,,,
Viral Infection,fatigue,sneezing,fever,runny nose,congestion,sore throat,cough,chills,body aches
Viral Infection,fever,congestion,body aches,sore throat,sneezing,,,,
Viral Infection,sneezing,cough,chills,fatigue,congestion,body aches,sore throat,runny nose,
Viral Infection,body aches,runny nose,chills,congestion,cough,fever,fatigue,sore throat,
Viral Infection,fatigue,fever,chills,congestion,cough,,,,
Viral Infection,fatigue,fever,cough,chills,congestion,body aches,sneezing,,
Viral Infection,chills,fever,sneezing,cough,runny nose,body aches,,,
Viral Infection,congestion,fatigue,body aches,fever,sore throat,runny nose,,,
Viral Infection,sneezing,cough,body aches,chills,sore throat,fever,congestion,runny nose,fatigue
Viral Infection,fatigue,fever,congestion,runny nose,body aches,sore throat,chills,,
Viral Infection,runny nose,sore throat,body aches,sneezing,chills,cough,,,
Viral Infection,fatigue,sore throat,congestion,chills,cough,,,,
Viral Infection,congestion,sneezing,runny nose,body aches,sore throat,chills,fever,fatigue,
Viral Infection,congestion,runny nose,fatigue,sneezing,sore throat,fever,,,
Viral Infection,body aches,fever,chills,congestion,,,,,
Viral Infection,cough,fever,chills,body aches,fatigue,runny nose,,,
Viral Infection,congestion,sneezing,chills,body aches,cough,fatigue,sore throat,fever,runny nose
Viral Infection,congestion,chills,runny nose,sneezing,cough,sore throat,,,
Viral Infection,chills,runny nose,body aches,sneezing,congestion,,,,
Viral Infection,fever,chills,congestion,sneezing,fatigue,sore throat,cough,runny nose,body aches
Viral Infection,fever,body aches,cough,runny nose,,,,,
Viral Infection,sore throat,fatigue,chills,body aches,congestion,cough,runny nose,sneezing,
Viral Infection,body aches,fatigue,cough,runny nose,chills,congestion,sore throat,,
Viral Infection,congestion,body aches,chills,sore throat,fever,cough,sneezing,runny nose,
Viral Infection,chills,body aches,fever,fatigue,,,,,
Viral Infection,cough,fatigue,runny nose,sore throat,body aches,chills,,,
Viral Infection,body aches,fatigue,congestion,sneezing,,,,,
Viral Infection,sneezing,congestion,sore throat,chills,cough,fatigue,runny nose,body aches,fever
Viral Infection,runny nose,fever,sneezing,fatigue,,,,,
Viral Infection,sore throat,chills,runny nose,fever,body aches,fatigue,sneezing,,
Viral Infection,chills,cough,congestion,body aches,fatigue,fever,runny nose,sneezing,
Viral Infection,chills,fatigue,cough,congestion,body aches,,,,
Viral Infection,sore throat,chills,sneezing,fatigue,body aches,runny nose,fever,,
Viral Infection,sore throat,cough,fatigue,chills,sneezing,,,,
Viral Infection,sneezing,fatigue,body aches,chills,fever,runny nose,sore throat,congestion,
Viral Infection,cough,runny nose,fatigue,congestion,sore throat,sneezing,fever,,
Viral Infection,cough,fatigue,chills,runny nose,body aches,sore throat,sneezing,,
Viral Infection,congestion,body aches,sneezing,cough,chills,fever,,,
Viral Infection,congestion,fatigue,fever,body aches,sore throat,,,,
Viral Infection,congestion,chills,sneezing,fatigue,cough,fever,sore throat,runny nose,body aches
Viral Infection,congestion,fatigue,runny nose,body aches,sore throat,cough,chills,fever,sneezing
Viral Infection,body aches,sore throat,chills,cough,congestion,,,,
Viral Infection,congestion,sneezing,fatigue,sore throat,cough,runny nose,fever,,
Viral Infection,cough,chills,congestion,sneezing,sore throat,fever,runny nose,body aches,
Viral Infection,runny nose,body aches,fatigue,sneezing,sore throat,congestion,fever,,
Viral Infection,cough,fatigue,fever,body aches,,,,,
Viral Infection,body aches,sneezing,fever,chills,sore throat,cough,congestion,,
Viral Infection,congestion,runny nose,cough,sneezing,fatigue,fever,,,
Viral Infection,fever,sore throat,fatigue,chills,,,,,
Viral Infection,chills,congestion,cough,sore throat,,,,,
Viral Infection,sore throat,fever,fatigue,runny nose,body aches,sneezing,chills,,
Viral Infection,congestion,chills,sore throat,fatigue,fever,cough,runny nose,body aches,sneezing
Viral Infection,sore throat,cough,fatigue,fever,sneezing,chills,congestion,,
Viral Infection,runny nose,sore throat,congestion,cough,body aches,sneezing,chills,,
Viral Infection,runny nose,fever,sore throat,sneezing,,,,,
Viral Infection,body aches,cough,fever,fatigue,chills,sneezing,,,
Viral Infection,body aches,runny nose,cough,congestion,chills,,,,
Viral Infection,sore throat,runny nose,sneezing,fatigue,body aches,chills,congestion,,
Viral Infection,fever,sneezing,body aches,fatigue,cough,sore throat,chills,,
Viral Infection,cough,congestion,sore throat,fever,fatigue,chills,sneezing,runny nose,body aches
Viral Infection,sore throat,runny nose,congestion,chills,sneezing,body aches,fatigue,,
Viral Infection,sore throat,chills,body aches,sneezing,,,,,
Viral Infection,runny nose,cough,fever,chills,body aches,fatigue,sore throat,congestion,sneezing
Viral Infection,cough,sore throat,congestion,fever,runny nose,fatigue,,,
Viral Infection,cough,runny nose,congestion,chills,,,,,
Viral Infection,fatigue,sore throat,runny nose,congestion,,,,,
Viral Infection,sneezing,fever,congestion,body aches,cough,,,,
Viral Infection,runny nose,congestion,cough,chills,,,,,
Viral Infection,cough,runny nose,chills,fatigue,sore throat,,,,
Viral Infection,body aches,cough,congestion,chills,runny nose,,,,
Viral Infection,chills,body aches,sneezing,cough,fatigue,,,,
Viral Infection,cough,runny nose,body aches,fever,,,,,
Viral Infection,congestion,runny nose,cough,body aches,fatigue,chills,sore throat,fever,
